ts,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1545459087.457346,123.0,89.221.210.188,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545417051.457678,123.0,82.113.53.40,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545457281.617926,9044.0,50.50.50.53,53.0,tcp,-,0,0,0,S0,S,1.0,40.0,0.0,0.0,Benign
1545416618.456895,123.0,147.231.100.5,123.0,udp,-,0.001746,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545403864.507242,41048.0,185.244.25.235,80.0,tcp,-,3.114215,0,0,S0,S,3.0,180.0,0.0,0.0,Benign
1545414139.529726,123.0,82.113.53.40,123.0,udp,-,9.932581,288,240,SF,Dd,6.0,456.0,5.0,380.0,Benign
1545440598.457926,123.0,77.78.107.252,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545406465.457937,123.0,147.231.100.5,123.0,udp,-,0.001747,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545411043.581260,56431.0,192.168.1.1,53.0,udp,dns,5.005399,78,0,S0,D,2.0,134.0,0.0,0.0,Benign
1545431012.456194,123.0,147.231.100.5,123.0,udp,-,0.001497,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545409755.455809,123.0,147.231.100.5,123.0,udp,-,0.015241,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545412496.458401,123.0,147.231.100.5,123.0,udp,-,0.001497,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545457289.921917,12620.0,50.50.50.53,53.0,tcp,-,0,0,0,S0,S,1.0,40.0,0.0,0.0,Benign
1545451664.457701,123.0,147.231.100.5,123.0,udp,-,0.001494,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545460602.528909,123.0,82.113.53.40,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545429057.454350,123.0,147.231.100.5,123.0,udp,-,0.037721,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545427948.526215,123.0,82.113.53.40,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545436837.527149,123.0,195.113.144.201,123.0,udp,-,9.945121,288,288,SF,Dd,6.0,456.0,6.0,456.0,Benign
1545461235.458239,54265.0,192.168.1.1,53.0,udp,dns,5.001899,78,0,S0,D,2.0,134.0,0.0,0.0,Benign
1545411053.724730,60790.0,192.168.1.1,53.0,udp,dns,0,0,0,S0,D,1.0,67.0,0.0,0.0,Benign
1545430688.454187,123.0,147.231.100.5,123.0,udp,-,0.001494,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545463986.538182,123.0,82.113.53.40,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545412105.458453,123.0,147.231.100.5,123.0,udp,-,0.001497,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545423226.527120,123.0,89.221.210.188,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545446092.456808,123.0,147.231.100.5,123.0,udp,-,0.001746,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545471050.458421,123.0,78.108.102.237,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545433130.456272,123.0,81.2.248.189,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545423428.454800,123.0,147.231.100.5,123.0,udp,-,0.056944,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545427232.455280,123.0,147.231.100.5,123.0,udp,-,0.006746,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545422317.456911,123.0,147.231.100.5,123.0,udp,-,0.046243,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545414474.529571,123.0,81.2.248.189,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545415599.528569,123.0,81.2.248.189,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545411621.530345,123.0,89.221.210.188,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545445912.456907,123.0,77.78.107.252,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545456195.936204,9044.0,1.1.1.1,1.0,tcp,-,0,0,0,S0,S,1.0,40.0,0.0,0.0,Benign
1545472265.531227,123.0,82.113.53.40,123.0,udp,-,10.075264,288,288,SF,Dd,6.0,456.0,6.0,456.0,Benign
1545414194.457897,123.0,147.231.100.5,123.0,udp,-,0.001746,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545482673.455706,123.0,37.187.104.44,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545429435.454124,123.0,195.113.144.201,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545424409.454259,123.0,147.231.100.5,123.0,udp,-,0.001745,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545440665.457758,123.0,147.231.100.5,123.0,udp,-,0.003235,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545455299.529628,123.0,147.231.100.5,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545411368.466860,41149.0,192.168.1.1,53.0,udp,dns,5.004403,78,0,S0,D,2.0,134.0,0.0,0.0,Benign
1545419112.454775,123.0,147.231.100.5,123.0,udp,-,0.097685,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545419246.454765,123.0,147.231.100.5,123.0,udp,-,0.011242,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545438755.458145,123.0,147.231.100.5,123.0,udp,-,0.006260,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545443480.457841,123.0,147.231.100.5,123.0,udp,-,0.176910,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545469613.459362,123.0,89.221.210.188,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545436893.455537,123.0,89.221.210.188,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545489714.459775,123.0,77.78.107.252,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545411452.486972,55073.0,192.168.1.1,53.0,udp,dns,5.004141,78,0,S0,D,2.0,134.0,0.0,0.0,Benign
1545459448.456986,123.0,82.113.53.40,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545480518.458654,123.0,37.187.104.44,123.0,udp,-,0.030730,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545448711.457334,123.0,147.231.100.5,123.0,udp,-,0.012493,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545409363.455890,123.0,147.231.100.5,123.0,udp,-,0.099928,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545409496.537728,123.0,89.221.210.188,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545425452.457288,123.0,147.231.100.5,123.0,udp,-,0.005495,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545488054.456554,123.0,89.221.210.188,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545411049.458161,123.0,81.2.248.189,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545424669.455410,123.0,147.231.100.5,123.0,udp,-,0.001747,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545434616.455501,123.0,147.231.100.5,123.0,udp,-,0.006254,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545409885.455916,123.0,147.231.100.5,123.0,udp,-,0.001747,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545407094.457052,123.0,82.113.53.40,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545404580.459403,123.0,147.231.100.5,123.0,udp,-,0.023984,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545406737.457462,123.0,147.231.100.5,123.0,udp,-,0.212108,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545418174.458401,123.0,77.78.107.252,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545434881.455313,123.0,147.231.100.5,123.0,udp,-,0.056719,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545404719.382277,41154.0,185.244.25.235,80.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,Benign
1545417941.458184,123.0,195.113.144.201,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545408343.528203,123.0,81.2.254.224,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545425717.457483,123.0,147.231.100.5,123.0,udp,-,0.001746,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545462877.550679,123.0,82.113.53.40,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545447396.456880,123.0,195.113.144.201,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545425258.457106,123.0,147.231.100.5,123.0,udp,-,0.001497,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545445961.456973,123.0,147.231.100.5,123.0,udp,-,0.085464,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545417575.457985,123.0,82.113.53.40,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545411227.458490,123.0,46.28.110.244,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545450680.456192,123.0,147.231.100.5,123.0,udp,-,0.015990,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545412823.458117,123.0,147.231.100.5,123.0,udp,-,0.022487,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545449715.456351,123.0,82.113.53.40,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545426771.456983,123.0,147.231.100.5,123.0,udp,-,0.001496,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545417473.913333,52838.0,185.244.25.235,6667.0,tcp,-,3.147208,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545468564.349769,54766.0,185.244.25.235,6667.0,tcp,-,3.111731,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545460963.587763,54030.0,185.244.25.235,6667.0,tcp,irc,37.062116,62,269,S3,ShAdDaf,7.0,434.0,6.0,589.0,C&C
1545408613.945035,50328.0,185.244.25.235,6667.0,tcp,-,3.113757,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545413120.784279,51450.0,185.244.25.235,6667.0,tcp,-,3.156688,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545460664.099810,53978.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545405758.891953,49418.0,185.244.25.235,6667.0,tcp,irc,4.090419,75,243,S3,ShAdDaf,9.0,567.0,6.0,563.0,C&C
1545416274.178658,52462.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545411242.305763,50972.0,185.244.25.235,6667.0,tcp,-,3.155452,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545489309.829162,57032.0,185.244.25.235,6667.0,tcp,irc,33.292811,62,260,S3,ShAdDaf,9.0,546.0,7.0,632.0,C&C
1545410073.831493,50672.0,185.244.25.235,6667.0,tcp,irc,1.056382,75,243,S3,ShAdDaft,8.0,511.0,6.0,563.0,C&C
1545470907.061389,54974.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545480461.316264,55992.0,185.244.25.235,6667.0,tcp,-,3.104978,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545418819.058511,53322.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545456868.917759,53402.0,185.244.25.235,6667.0,tcp,-,3.103731,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545410233.139165,50706.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545407348.499548,49896.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545405775.068494,49424.0,185.244.25.235,6667.0,tcp,irc,4.213837,75,243,S3,ShAdDaf,9.0,567.0,7.0,615.0,C&C
1545418671.369619,53250.0,185.244.25.235,6667.0,tcp,irc,2.079305,75,243,S3,ShAdDaf,8.0,507.0,6.0,563.0,C&C
1545411454.661225,51016.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545461974.468430,54126.0,185.244.25.235,6667.0,tcp,-,3.152457,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545410661.540336,50826.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545458775.562971,53626.0,185.244.25.235,6667.0,tcp,-,3.096986,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545484783.575465,56472.0,185.244.25.235,6667.0,tcp,-,3.085501,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545405978.104014,49474.0,185.244.25.235,6667.0,tcp,-,3.118235,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545464693.782217,54362.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545413560.382786,51540.0,185.244.25.235,6667.0,tcp,-,3.158197,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545417176.502755,52772.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545413950.580737,51646.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545407298.499576,49886.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545418020.088397,52994.0,185.244.25.235,6667.0,tcp,-,3.132692,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545465698.687836,54428.0,185.244.25.235,6667.0,tcp,-,3.092969,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545405291.536045,49262.0,185.244.25.235,6667.0,tcp,irc,2.146277,75,243,S3,ShAdDaf,8.0,507.0,7.0,615.0,C&C
1545412990.751188,51424.0,185.244.25.235,6667.0,tcp,-,3.109747,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545409458.709300,50516.0,185.244.25.235,6667.0,tcp,-,3.149458,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545477706.421142,55654.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545405664.303864,49382.0,185.244.25.235,6667.0,tcp,irc,2.098553,75,243,S3,ShAdDaf,9.0,559.0,6.0,563.0,C&C
1545488684.740801,56976.0,185.244.25.235,6667.0,tcp,-,3.120477,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545413007.940899,51426.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545485106.021687,56520.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545409283.841281,50476.0,185.244.25.235,6667.0,tcp,-,3.137468,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545475732.356835,55322.0,185.244.25.235,6667.0,tcp,-,3.099750,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545476989.460630,55466.0,185.244.25.235,6667.0,tcp,irc,32.889792,62,269,S3,ShAdDaf,7.0,434.0,6.0,589.0,C&C
1545484623.670783,56460.0,185.244.25.235,6667.0,tcp,-,3.149957,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545464116.421966,54300.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545467899.982257,54690.0,185.244.25.235,6667.0,tcp,-,3.157474,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545461700.432927,54100.0,185.244.25.235,6667.0,tcp,-,3.107484,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545467907.219660,54690.0,185.244.25.235,6667.0,tcp,irc,37.960260,62,269,S3,ShAdDaf,7.0,434.0,6.0,589.0,C&C
1545406686.980550,49710.0,185.244.25.235,6667.0,tcp,irc,0.939707,75,243,S3,ShAdDaf,7.0,447.0,6.0,563.0,C&C
1545406106.362152,49500.0,185.244.25.235,6667.0,tcp,-,3.099947,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545488637.941158,56970.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545405525.670869,49344.0,185.244.25.235,6667.0,tcp,-,3.151455,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545409498.716749,50524.0,185.244.25.235,6667.0,tcp,-,3.141960,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545479004.421846,55854.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545413730.580964,51586.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545406391.701140,49598.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545485078.793172,56516.0,185.244.25.235,6667.0,tcp,-,3.148457,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545467372.257195,54642.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545477277.460797,55540.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545418315.434550,53114.0,185.244.25.235,6667.0,tcp,irc,1.096626,75,243,S3,ShAdDaf,7.0,447.0,6.0,563.0,C&C
1545463074.661303,54254.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545410446.323286,50774.0,185.244.25.235,6667.0,tcp,-,3.136467,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545459094.890858,53680.0,185.244.25.235,6667.0,tcp,-,3.128973,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545488860.914627,56990.0,185.244.25.235,6667.0,tcp,-,3.107000,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545413317.541045,51490.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545413580.386629,51544.0,185.244.25.235,6667.0,tcp,-,3.154206,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545410050.978763,50666.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545461964.464629,54124.0,185.244.25.235,6667.0,tcp,-,3.156201,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545477527.381295,55602.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545407556.188020,49956.0,185.244.25.235,6667.0,tcp,irc,1.101373,75,243,S3,ShAdDaf,7.0,447.0,6.0,563.0,C&C
1545416945.835028,52710.0,185.244.25.235,6667.0,tcp,-,3.145212,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545416264.178846,52460.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545461030.019891,54038.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545461511.687047,54078.0,185.244.25.235,6667.0,tcp,-,3.133228,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545416288.986495,52468.0,185.244.25.235,6667.0,tcp,irc,2.102319,75,243,S3,ShAdDaf,8.0,507.0,6.0,563.0,C&C
1545412737.019918,51354.0,185.244.25.235,6667.0,tcp,irc,1.101123,75,243,S3,ShAdDaf,7.0,447.0,6.0,563.0,C&C
1545404595.966568,49044.0,185.244.25.235,6667.0,tcp,irc,1.105621,74,242,S3,ShAdDaf,7.0,446.0,6.0,562.0,C&C
1545470539.873194,54936.0,185.244.25.235,6667.0,tcp,irc,32.057972,62,269,S3,ShAdDaf,7.0,434.0,6.0,589.0,C&C
1545405184.502537,49234.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545407986.834307,50104.0,185.244.25.235,6667.0,tcp,irc,1.016923,60,124,RSTR,ShAdfDr,5.0,328.0,4.0,328.0,C&C
1545407032.899945,49820.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545410694.319928,50834.0,185.244.25.235,6667.0,tcp,irc,1.100372,75,243,S3,ShAdDaf,7.0,447.0,6.0,563.0,C&C
1545456946.109278,53416.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545409020.578680,50416.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545405358.662307,49290.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545409067.555640,50428.0,185.244.25.235,6667.0,tcp,-,3.102980,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545488594.260988,56966.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545489921.382429,57088.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545488323.975664,56934.0,185.244.25.235,6667.0,tcp,-,3.084758,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545482931.585136,56248.0,185.244.25.235,6667.0,tcp,-,3.152709,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545474537.339530,55202.0,185.244.25.235,6667.0,tcp,-,3.158211,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545479692.260153,55928.0,185.244.25.235,6667.0,tcp,irc,32.052250,62,269,S3,ShAdDaf,7.0,434.0,6.0,589.0,C&C
1545406748.260269,49728.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545417213.402487,52782.0,185.244.25.235,6667.0,tcp,-,3.099738,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545466262.322532,54480.0,185.244.25.235,6667.0,tcp,-,3.136208,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545487495.858997,56828.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545405908.088920,49460.0,185.244.25.235,6667.0,tcp,-,3.133471,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545411695.541148,51074.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545413597.620796,51546.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545404132.353979,48986.0,185.244.25.235,6667.0,tcp,-,3.107733,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545418110.858894,53036.0,185.244.25.235,6667.0,tcp,irc,1.082134,75,243,S3,ShAdDaf,7.0,447.0,6.0,563.0,C&C
1545462081.620910,54136.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545478330.379706,55788.0,185.244.25.235,6667.0,tcp,-,3.081762,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545410795.935319,50862.0,185.244.25.235,6667.0,tcp,-,3.125224,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545413982.660695,51654.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545471005.621235,54984.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545418079.701152,53012.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545413199.092102,51466.0,185.244.25.235,6667.0,tcp,-,3.088997,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545405252.412090,49252.0,185.244.25.235,6667.0,tcp,-,3.130481,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545485328.901916,56560.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545460960.819858,54026.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545457367.701122,53464.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545479485.394224,55902.0,185.244.25.235,6667.0,tcp,-,3.108994,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545409084.738826,50430.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545410498.659766,50790.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545404572.102159,49036.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
1545408908.236725,50392.0,185.244.25.235,6667.0,tcp,-,3.141960,0,0,S0,S,3.0,180.0,0.0,0.0,C&C
1545473092.182163,55174.0,185.244.25.235,6667.0,tcp,-,0,0,0,S0,S,1.0,60.0,0.0,0.0,C&C
